Istar	1.00000000	Vstar	0.01284557	Rchem	144.27000000	Temp	25.00000000
Frequency (Hz)	V11 Mag	V13 Mag	V22 Mag	V24 Mag	V33 Mag	V35 Mag	V44 Mag	V55 Mag	V11 Re	U11 Re	V11 Im	U11 Im	V13 Re	V13 Im	V15 Re	V15 Im	V22 Re	U22 Re	V22 Im	U22 Im	V24 Re	V24 Im	V33 Re	U33 Re	V33 Im	U33 Im	V35 Re	V35 Im	V44 Re	U44 Re	V44 Im	U44 Im	V55 Re	U55 Re	V55 Im	U55 Im
1.58301592	244.49541163	-5105007.58522707	728.25805656	1177706112.35440111	1394477.21339000	1892612390264.40234000	238115743.85478389	250728621191.36553900	237.88546640	0.81184778	-56.46527411	-0.39138611	-4021365.20132497	5128453.60085819	-3983127454561.19678000	4214457960947.58008000	-58.02126288	-0.00003581	-726.75219630	-0.00044853	104946605.78113309	-1181373525.81799006	987668.87744676	0.00005427	992462.71519073	0.00005454	809278251613.32629300	1785654494518.35181000	-224440923.70736131	-0.00000110	-73945307.81595440	-0.00000036	249845373612.45105000	0.00000011	15276781386.51931950	0.00000001
1.25829470	251.45363978	-6519073.04361821	867.19250489	1444917803.01189303	1802244.10487855	2436899375483.26270000	283708926.21259981	395690925100.53869600	246.73430184	0.87318302	-48.48695312	-0.33608479	-5617739.50386529	5189981.91532072	-5503535541133.16797000	4050318507700.54980000	135.87897121	0.00008386	-858.48468842	-0.00052983	585397193.24437356	-1347595690.66815686	728782.48340023	0.00004005	1654228.14309162	0.00009090	270457265346.33908100	2486643454876.40332000	-188731822.55010831	-0.00000092	-210011457.77995792	-0.00000103	331162353780.32421800	0.00000014	215642688456.81951900	0.00000009
1.00149989	256.33907001	-7578021.06697898	976.83160821	1658797893.80311203	2146266.31766416	3098300078927.49854000	329488758.77641678	542704747773.52038500	253.08974849	0.91723547	-40.68410779	-0.28199978	-6919712.58792830	4670009.14582759	-6831959241864.52246000	4158200391024.44824000	385.45006393	0.00023789	-899.30251802	-0.00055502	971276264.14698374	-1368770189.95261860	196388.85360975	0.00001079	2142455.74530845	0.00011773	-576478644551.48974600	3110671967024.88086000	-95809017.76118016	-0.00000047	-314967722.67603028	-0.00000154	273160737771.80761700	0.00000012	463080774972.56805400	0.00000020
0.79550546	259.73104256	-8529755.27372005	1057.93073528	1852394811.13503742	2480942.34140996	3573381625854.81836000	388835732.75522786	635490018084.78881800	257.55782608	0.94820571	-33.52785834	-0.23239661	-8049771.90108240	4216344.50961607	-7550906116746.95606000	3345088388596.30469000	619.38658882	0.00038226	-859.00998001	-0.00053015	1318772497.99636102	-1318023830.57072711	-496725.55010359	-0.00002730	2435069.63335324	0.00013381	-1526796928588.48486000	3290765768318.30273000	21721792.04001795	0.00000011	-387286150.33512336	-0.00000189	124619490264.54400600	0.00000005	622837017952.34704500	0.00000027
0.63232487	261.99313188	-9104059.93522238	1124.70841428	1951807694.04647136	2777816.14467157	3848332383110.74170000	429153674.52281195	689199422593.07604900	260.56350295	0.96903941	-27.33176133	-0.18944868	-8766495.80461485	3676875.97691638	-8337557005437.30078000	2606769560660.94922000	810.88847684	0.00050045	-780.50988459	-0.00048170	1586659403.47012210	-1153180302.28122115	-1160008.70345324	-0.00006374	2530792.93540589	0.00013907	-2580050520426.79834000	2976852168261.63037000	155378470.73357269	0.00000076	-399791517.66679066	-0.00000196	-93285348979.22604360	-0.00000004	682857003894.99816800	0.00000030
0.50074995	263.51807664	-9594592.49292408	1167.46475295	2043340630.45613193	2953022.58952663	4224221360932.57324000	458765692.74727499	763728812691.61193800	262.59603690	0.98312781	-22.02436044	-0.15266071	-9372989.20006597	3028888.31470640	-8607752376732.80371000	2191251940664.17017000	950.40242282	0.00058656	-678.76838957	-0.00041891	1802669958.39344811	-980476723.42783177	-1833389.24594806	-0.00010075	2317434.50597467	0.00012735	-3131718401361.49170000	2880545731458.65625000	253137222.21507144	0.00000124	-381493940.51457459	-0.00000187	-274334867505.96652200	-0.00000012	711162618506.83581500	0.00000031
0.39897150	264.48701281	-9891786.29069475	1200.31840074	2084199663.85840535	3138754.14232425	4279136832588.48584000	481728310.60050344	798213383343.68835400	263.89022650	0.99209842	-17.75697528	-0.12308155	-9748135.31059129	2454078.91817129	-8822421814706.60547000	1901875232827.65039000	1055.17770567	0.00065122	-573.01378614	-0.00035364	1924932894.66359162	-812630410.72296417	-2343684.36646451	-0.00012879	2090239.30395247	0.00011486	-3573353113237.43311000	2396706496959.28809000	342233573.54646873	0.00000167	-338043007.03647119	-0.00000165	-429889872303.99517800	-0.00000019	671497765268.70861800	0.00000029
0.31660318	265.12867637	-10002849.67608896	1194.86187707	2216338939.83471632	3403872.84056012	3806353102962.24365000	492255428.61310148	814560755347.73852500	264.74711682	0.99803791	-14.21859617	-0.09855546	-9909063.56157400	2004777.52103789	-9203785845529.15820000	1490202025082.59570000	1091.60856205	0.00067370	-482.97131589	-0.00029807	2147368905.47140884	-619460017.30805218	-2826501.35807133	-0.00015532	1888828.56322271	0.00010379	-3467596171516.78467000	1675822852306.15649000	356756948.92515689	0.00000175	-298776532.08359361	-0.00000146	-593558550359.03015100	-0.00000026	556045281179.83874500	0.00000024
0.25165895	265.56014030	-10252101.47503715	1233.54485699	2126885739.41099763	3310064.23504782	4496312087134.97168000	504124051.30145186	823848858736.44677700	265.31628521	1.00198307	-11.37759680	-0.07886322	-10192320.57648573	1605295.64498828	-8854223739449.28125000	1244321216509.74780000	1172.17644928	0.00072343	-384.65618061	-0.00023740	2059733619.46809816	-539051954.25588071	-2961967.49542094	-0.00016276	1478642.28318940	0.00008125	-4171526277991.78027000	1698655301156.80664000	443070121.68310165	0.00000217	-238585533.80534524	-0.00000117	-645479969677.96105900	-0.00000028	511228260224.29937700	0.00000022
0.19929847	265.85024998	-10439615.79423927	1319.51045747	1826589243.44911027	3689359.06711620	3388242166439.34033000	560694270.12869585	941187384559.65283100	265.69705021	1.00462232	-9.02338000	-0.06254509	-10412301.93474722	968834.44049169	-8487443190092.76270000	1674587729502.16138000	1280.57096958	0.00079032	-300.27767769	-0.00018532	1785401813.44808626	-459820711.39252502	-3533718.89073252	-0.00019418	1004893.75360089	0.00005522	-2959498232729.86768000	2044858482085.59595000	446733441.21949399	0.00000219	-55256812.75752397	-0.00000027	-801362322197.55004800	-0.00000035	488323541123.87304600	0.00000021
0.15881389	266.02936786	-10206709.24309947	1232.45935201	2199184812.99730444	3396692.63624825	4548035429083.20996000	520913186.21535277	836644379756.93749900	265.93064317	1.00624146	-7.24668138	-0.05022999	-10182851.93283671	1008771.18957024	-9542105088768.41406000	841900923527.68359300	1208.18899709	0.00074565	-243.55262557	-0.00015031	2168817024.97538567	-367712695.19674969	-3254193.14803048	-0.00017882	973769.12341267	0.00005351	-4400766266411.88184000	1154601319819.97949000	494971510.47061366	0.00000242	-160033738.66053137	-0.00000078	-752531559861.15417400	-0.00000033	357337594386.29907200	0.00000016
0.12584569	266.15539876	-10381368.10528519	1240.18020331	2194699454.12681484	3425133.79596275	4582805985894.09375000	518771104.90346050	824160291932.87976000	266.09294843	1.00736647	-5.76521760	-0.03996131	-10365368.52043357	847672.08008331	-9332677944400.82617000	536276465408.04675200	1224.75647178	0.00075588	-195.05920437	-0.00012038	2175830673.59200525	-290419231.25708711	-3334714.30077012	-0.00018325	781853.53169155	0.00004296	-4484921804174.58984000	945938777445.69494600	499979714.44951171	0.00000245	-137681140.98237959	-0.00000067	-773275614143.66540500	-0.00000034	284138618333.97015400	0.00000012
0.09985302	266.22417881	-10327383.98055180	1249.70291142	2184754500.61875439	3469448.91172723	4495912314801.73535000	518672100.92624444	827751507720.87768500	266.18454049	1.00800134	-4.59390224	-0.03184239	-10316129.67584029	741076.75439334	-9608227353099.21680000	226444246846.20928900	1239.43644751	0.00076494	-159.95343090	-0.00009872	2175142290.74801779	-211853582.56348437	-3412311.71667471	-0.00018751	626971.80734503	0.00003445	-4435996928561.60938000	734988645259.57702600	506069545.74258322	0.00000248	-113218947.35123242	-0.00000055	-797134208586.71228000	-0.00000035	222882712091.16769400	0.00000010
