f[Hz]	V11 Re	V13 Re	V15 Re	V11 Im	V13 Im	V15 Im	V22 Re	V24 Re	V22 Im	V24 Im	V33 Re	V35 Re	V33 Im	V35 Im	V44 Re	V44 Im	V55 Re	V55 Im
63.2488665803	121.452605361501	21950.60347108232	-4937999718.655847	-7.752794824878366	11294.369907267323	-10096520677.076807	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
50.0801282051	121.75982157999647	-519.3052235413309	15305443637.273624	-9.739128295080546	915.5596253578099	-909950783.0832472	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
39.6976626016	122.21328925878754	7226.948678857537	407796749.57987565	-12.207366888315399	-1100.1682724564716	602055579.7833836	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
31.7065746753	122.85765823761324	11139.88875585074	5611542755.93815	-15.160456280187953	-7662.165109276868	5334728287.323097	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
25.1691365979	123.86746083503928	24807.632893966787	2203314384.6044655	-18.89590371455394	3505.270598670199	-2023964847.013206	-0.3700905624977213	4076682.355628384	-1.0487394590417964	-296609.68280063296	1993.3897196175005	-420948885.13235736	2726.800201421147	-2549021220.704471	-3641452.0889829937	1645176.5227080535	-553865804.190441	-18256462.449726176
19.970603272	125.40233589410039	38550.74585629558	11170076076.800676	-23.464140970500864	3809.6815868313	-780942907.3708332	-0.30626965799988054	3289667.4233123716	-1.753254457987799	912692.9476322463	26661.064949969594	-27797391123.30867	4509.803845981948	-7616636679.23776	-3715647.904939272	2790738.911039496	-822445217.1183236	614533100.5607501
15.8532873377	127.74888576431675	43049.077074297056	5879536753.322782	-28.956885555741106	8068.347031028669	-132630274.9093023	-0.7373455861088826	2853912.410930169	-1.3474855262767667	2098575.7374692364	5709.15586818761	-3961837818.9626007	3272.404423203657	-3471593937.8708615	-3239533.93485071	4407235.065761588	-1946647965.9517744	318740223.3720281
12.584568299	131.134942586114	336859.56380150636	-48846718652.43867	-35.43114696975651	21879.69044915643	2069205727.9789932	-3.037476797418036	644851.8386389655	-0.46308436901148076	4056806.248790411	7407.674864267038	-5946686935.534085	1384.4409648193434	-4695611208.761282	-4685623.055646391	5622317.416604734	-3282832664.449741	678148398.0272425
10.016025641	136.27669693312703	43109.45461585152	60523160339.78024	-42.717412622735864	61722.40725408345	8448009637.154366	-7.134697215044315	-5552162.378995177	1.2940636076966827	7413480.664108423	10855.520039472909	-10195581093.046251	-2155.302154505635	-8881282021.44306	-4941110.581077641	8581225.466292487	-6010756030.519662	668995851.0095133
7.9266436688	143.44667032918701	158138.0020261388	16168517800.817139	-50.77822721960299	159856.1906346969	33627120886.05049	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6.324886658	152.86269778961085	238101.5124033114	68091427695.045135	-58.50139697194261	368223.2001832716	120137715768.74953	-46.99293854279489	-44159959.45658147	0.1081932349418749	18138865.66198769	37181.44671247809	-18690722478.84235	-43323.46454886526	-26694605451.666225	-5519924.354983598	19695157.31865111	-18007888419.428177	1498953722.8180869
5.0080128205	165.38251587703658	328814.51086702425	113089215877.62709	-65.41873608698168	823181.6035097396	346301081829.46985	-90.33415661180956	-107518032.11079656	-14.359960344667092	4501903.40303471	86259.1405823884	10315258128.768217	-85509.49385098463	-80507421174.7688	-5346244.124540902	34498654.913612895	20281459997.790684	24046183682.132076
